src,trg,usage_count,forwarded_satoshis
02de367d7c2610a3f2d5b831ffdf6b5fe07b5b47a539b68b2976b5a807777d1456,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,18,180000
032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,18,180000
0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,02e2670a2c2661a9eea13b7cfdcdd7f552f591b9ee60e5678b7abe77b7f9516f96,18,180000
021802799027508e8a8bf9a0ab96ea78a6a995926a0b1310561a74375a06e14de9,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,17,170000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,17,170000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,036b343eb46c5db996d3d1e2c6cc9742cbfa7e3b4146d4b4b0aef694b6d12960c8,17,170000
02c16cca44562b590dd279c942200bdccfd4f990c3a69fad620c10ef2f8228eaff,0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,17,170000
0325d3075b0ee0a3630d623d0fcc6ca5cdc0bdcdaf6e6e813e1be02b4e5e246ce2,037eb17d0fee2d20bacea3d78940b40f4ac61a5a7040a23b6e8280c80d7ebfb420,17,170000
03a76b80027d7c067e0da77da95880faaf89e9bf87b73a7d57bd4a3f2a124b764f,02f3067188240c75beb36477db63771f66c976f7e5bdd6f6ace5508396aba24815,17,170000
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877,17,170000
03d24a4d2c8841890779f3c788cd269d467ad8ff8fcfdc21c8ceead42c7dd7f04b,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,17,170000
0205823109f3d6e1ac5f3e5ab41ab88bf463ffa7b59a81d07d8b688fb737e11955,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,16,160000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1,16,160000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877,16,160000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,02e2670a2c2661a9eea13b7cfdcdd7f552f591b9ee60e5678b7abe77b7f9516f96,16,160000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,031d2bbc75802689312220a017c6b51fa246efc59c7aa9355f6f7395038ffb4d6a,16,160000
02c16cca44562b590dd279c942200bdccfd4f990c3a69fad620c10ef2f8228eaff,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,16,160000
03345d99a94e2fc8a69698f8bbec6bea5a4e8dbaf8b313085bb9710f6014765e45,03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda,16,160000
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3,16,160000
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,039026382473c677f291d6a16b8b6b5af02813cc018336330fc3f34828f3d8d062,16,160000
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,03a6f9139dafd65a9ea12abeb0d11a46301b116992fef4f8064f0d1d415e14736e,16,160000
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,03a76b80027d7c067e0da77da95880faaf89e9bf87b73a7d57bd4a3f2a124b764f,16,160000
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,03ab2157b6b046ad0f499d3b6552acedadeda7a09c6c3542df52efc2ac8d756b0f,16,160000
03f18da23535adee245903c81750745197e3079d3b88b3898981c90a5f2411008c,028303182c9885da93b3b25c9621d22cf34475e63c123942e402ab530c0556e675,16,160000
0237fefbe8626bf888de0cad8c73630e32746a22a2c4faa91c1d9877a3826e1174,03d24a4d2c8841890779f3c788cd269d467ad8ff8fcfdc21c8ceead42c7dd7f04b,15,150000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0276e09a267592e7451a939c932cf685f0754de382a3ca85d2fb3a864d4c365ad5,15,150000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,02da8d5a759ee9e4438da617cfdb61c87f723fb76c4b6371b877d0347abe953a4f,15,150000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03c4bb19c3a388d790968328b0f0d187a1a28597d3ad082200a47baadfdb6aee8d,15,150000
02ba3ea3146bce6cb5093c1e6dee21a33faf1fb38f2bc1dc805038ebf9f2ecbeab,02de367d7c2610a3f2d5b831ffdf6b5fe07b5b47a539b68b2976b5a807777d1456,15,150000
02c12b5459cf107ee0440cae41902f1189db50fa003a077f3a6fbe6b5760218695,029aee02904d4e419770b93c1b07aae2814a79032e23cafb4024cbea6fb71be106,15,150000
0335f1fcbb62b9490d0b4007fa158669e42f08599149b2cc54ed1d36888737e6d7,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,15,150000
0388a2cd707ac944a2b0c8adbf67c4a313d24b6dc2ab2baba842f9a9eecf925131,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,15,150000
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,0237fefbe8626bf888de0cad8c73630e32746a22a2c4faa91c1d9877a3826e1174,15,150000
03d24a4d2c8841890779f3c788cd269d467ad8ff8fcfdc21c8ceead42c7dd7f04b,037eb17d0fee2d20bacea3d78940b40f4ac61a5a7040a23b6e8280c80d7ebfb420,15,150000
03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,03a76b80027d7c067e0da77da95880faaf89e9bf87b73a7d57bd4a3f2a124b764f,15,150000
03f18da23535adee245903c81750745197e3079d3b88b3898981c90a5f2411008c,02ba3ea3146bce6cb5093c1e6dee21a33faf1fb38f2bc1dc805038ebf9f2ecbeab,15,150000
020e56a13babec99abdc2c4afbe34e1e44230d79b234c059fd4ff1e367765fdb1b,038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde,14,140000
020e56a13babec99abdc2c4afbe34e1e44230d79b234c059fd4ff1e367765fdb1b,03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda,14,140000
021bbb8db00487ea8cc040533224f6bca1dae0b2aaf5489797eee16ebd2b6ad00b,02c16cca44562b590dd279c942200bdccfd4f990c3a69fad620c10ef2f8228eaff,14,140000
02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,020e56a13babec99abdc2c4afbe34e1e44230d79b234c059fd4ff1e367765fdb1b,14,140000
02964c50e89786896df7e5d10d7bb6995b0bbdaf891ff24fbcc52b75aae544e514,02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,14,140000
029d50d59c78b81a39f4ca40b6bc9b89710542a31429b69aa075b91b587979205d,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,14,140000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,02868e12f320073cad0c2959c42559fbcfd1aa326fcb943492ed7f02c9820aa399,14,140000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,02dbd9298c0e87143276440838c4c3b6adfd183fd19c9181cf38a550c6ad216b51,14,140000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,02f9c7deb297e32fc3d3d55f336176055cd667a2fada0bd5663e7413e1aba55b86,14,140000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,036ac04a69f2ab587fd83c4f2aca255a81f138276fbca344ac3ecfae28d733be56,14,140000
031678745383bd273b4c3dbefc8ffbf4847d85c2f62d3407c0c980430b3257c403,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,14,140000
03345d99a94e2fc8a69698f8bbec6bea5a4e8dbaf8b313085bb9710f6014765e45,02c5371591b640da03f9a645e2ddfa5620d8537388b03ddd524d36766c0f550db0,14,140000
037eb17d0fee2d20bacea3d78940b40f4ac61a5a7040a23b6e8280c80d7ebfb420,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,14,140000
0388a2cd707ac944a2b0c8adbf67c4a313d24b6dc2ab2baba842f9a9eecf925131,02f6725f9c1c40333b67faea92fd211c183050f28df32cac3f9d69685fe9665432,14,140000
039d510570ab6e65fc8fb1f9ada5b63dc0f703a8d7dbde2fc11fb6f1e5810f6bbb,03d24a4d2c8841890779f3c788cd269d467ad8ff8fcfdc21c8ceead42c7dd7f04b,14,140000
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde,14,140000
03cb7983dc247f9f81a0fa2dfa3ce1c255365f7279c8dd143e086ca333df10e278,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,14,140000
020e56a13babec99abdc2c4afbe34e1e44230d79b234c059fd4ff1e367765fdb1b,0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,13,130000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0256812a1cb2539a5500f3c1c20db5ed7626e3878a552e3356c032c7bec2b3060e,13,130000
02e2670a2c2661a9eea13b7cfdcdd7f552f591b9ee60e5678b7abe77b7f9516f96,0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,13,130000
02e588464f41b295e8c20fd1e1362437f40375cae6a8155cf20a9a9e2ec9b3b2e4,03d24a4d2c8841890779f3c788cd269d467ad8ff8fcfdc21c8ceead42c7dd7f04b,13,130000
0391489a933ab83094d1af43b3df3e8c8d467474649361912f05211d0e68a28fc9,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,13,130000
03a76b80027d7c067e0da77da95880faaf89e9bf87b73a7d57bd4a3f2a124b764f,035830c16ebd9791379d05ee2e17053bb599d760cd5e2d2692c6bc96a3d8c50680,13,130000
