transaction_id,src,trg,balance_before,balance_after
920,0354fcd9f1554f3505238e1b3c29223868953730c30b6565ad482dc31e90bcfa93,02c1129d1788b698324cf22ac52928a031abc23389ce62c0c45a2a9457f0e401e0,19246.824047499696,9246.824047499696
921,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3,11778.273144625724,1778.273144625724
923,024655b768ef40951b20053a5c4b951606d4d86085d51238f2c67c7dec29c792ca,03f47ba61341a704b0910b6d1fc8a938bb97152e8df94dfc142816d2721b5d5c73,12984.180531638407,2984.180531638407
936,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0238107198ba9e0e5fd5a0c67eac88e3633072885397c5925205891f8985e52078,15474.49010085802,5474.49010085802
939,0304288aba6c3e098b7ca5834225aa64c6c473fb9bcef365941d570816d6b13d0e,02262bbc21c171bc91a1d6bbf89571c95873849b9a60d3ea9671b777d852d39ecd,15471.0087454741,5471.008745474101
939,02262bbc21c171bc91a1d6bbf89571c95873849b9a60d3ea9671b777d852d39ecd,02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,19375.665764214733,9375.665764214733
943,02f2398362d589f8480a89494ab0e793b153e823b6f4850fc621a090282caf7a54,02c921ef88d90e8760b31227ccc82dd8d4bb8082d636935abcde0cde4827f1ebb9,18158.841352756845,8158.841352756845
950,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,02c287d1be9c9fa13d4ded0b0432b7e2367b1b20d822ab76546c4bb67cac1bc6e1,12616.840009525606,2616.8400095256056
962,0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,02ffcd687ab76b5eaced9262362fbda21e4c835dc5ff1573baae77f5e762d7ced8,10000.0,0.0
963,026d5cd23df6f44002ea3ae4c22b6ee68b7907bbbfc00194e59f0396f5232b276f,0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,15143.292285365847,5143.292285365847
964,02da8d5a759ee9e4438da617cfdb61c87f723fb76c4b6371b877d0347abe953a4f,02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,10407.189682312208,407.1896823122079
965,032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada,0374ecf61ed6c1208c42339f47decde2bc0c4393ac95f07827b3471e939d7eb961,17205.20449464572,7205.204494645721
973,02f2398362d589f8480a89494ab0e793b153e823b6f4850fc621a090282caf7a54,021779d56f6992431e959991a664d678a2f41054073adb48c5a351d791c9cb0781,17855.70368215561,7855.70368215561
995,033cfe09030dff97391e08cd08c77834efcb44b706bee7ac7d0866b02ed67f356a,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,18359.83790603689,8359.83790603689
1009,030a400157099427f49f5001115bed4bdf82c7b98c904375ed0c7bd7ffd29273d7,0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,12778.98050794829,2778.9805079482903
1016,02c5371591b640da03f9a645e2ddfa5620d8537388b03ddd524d36766c0f550db0,028303182c9885da93b3b25c9621d22cf34475e63c123942e402ab530c0556e675,14428.786725860322,4428.786725860322
1021,0224d2b2c9b101bdcd941b7e6937d81fba6dfed271bf57121b6f001cd63594e2da,02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,12836.088076758311,2836.088076758311
1027,028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,10942.915418942257,942.915418942257
1037,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,02e2670a2c2661a9eea13b7cfdcdd7f552f591b9ee60e5678b7abe77b7f9516f96,12196.066463276446,2196.0664632764456
1038,02dded01476b793f815383c6c278cc390dc4aa8ff28b4430f26f67b1a619945eed,038d0543c2f838fc6229bd7b80df46d8bad9f30c874ee3ac4578c4ce6f57956f08,16356.886144030956,6356.886144030956
1050,0279f930a60afe43131fd3328ff4a9c55293254c328f45e76695c1ab9b3c5a68b2,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,11455.609228092642,1455.6092280926423
1055,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,037eb17d0fee2d20bacea3d78940b40f4ac61a5a7040a23b6e8280c80d7ebfb420,19522.559227509453,9522.559227509453
1068,02a94aadd09055ca615bd76aacb6bba748ed8a0d2e5924aea643e3dc3912085314,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,19363.144438526215,9363.144438526215
