pair_rank,node_a,node_b,pair_edge_betweenness,directions_present,aggregated_capacity
82,022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,036c977839833af6b6994ee2c9a7155ad8c256a114378bb3718c3cfa24384c867d,0.002146266487432021,2,9000000
83,02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,03a511c490430787699573a9de1987881831e6dce1077cfcd2c52c97c9c94f5339,0.002125744212381647,2,693787
84,0205823109f3d6e1ac5f3e5ab41ab88bf463ffa7b59a81d07d8b688fb737e11955,02ca16a1dcf909619ce63af162f3277d000a42faa3ad6fb0eb842f7e5005fb256a,0.0020974524848454868,2,50000
85,0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,0.0020920743527564813,2,10204947
86,0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada,0.002091240603414646,2,5000001
87,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,0.002084594151061909,2,15000000
88,0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,028d7b9a15f7f45f9116a6b6f1f820ffc38b3b4323e109fdcf7e04ecd12f1db7a0,0.002084319065537023,2,750000
89,020e8091a59f0983ea4adf0f3e0d575e15d9cee676e827eafd3946f65ae869fafc,030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,0.0020811271252890763,2,1500000
90,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03c7719568a591e68acd3ecbc8af31be007861aba106f36210925495901ef8438f,0.0020792676170420217,2,100000
91,024300c307415b88acd0c027c5dcf405e5a59f8b19867ee253ff10093932559849,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,0.002065661980077387,2,1000000
92,02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,0.0020556966586954433,2,2477850
93,02a0bc43557fae6af7be8e3a29fdebda819e439bea9c0f8eb8ed6a0201f3471ca9,02fdef31e3cb364ddfd727664193425da232ac2839ea4d910150ac6ee6541e6e08,0.002045703304427203,2,20000
94,0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,03a21580b22df4530e1d497126bab62de6b69951abe0d3238a647780b61c7ea490,0.0020395105263967483,2,1000000
95,022c699df736064b51a33017abfc4d577d133f7124ac117d3d9f9633b6297a3b6a,02425af7b5f27f324bd3312bc19b58ef9dd40a6a7cac581b70e0cb2f3e31ae77a6,0.0020190198782437203,2,300000
96,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0354127ba0c74e9434844ecd110d3484708b43d55be48fa7eaeeb3dd874e83cc7f,0.00201530284973537,2,500000
97,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,02c68169a28016de14cb59bf33983f18dbdb030601baef508105c7fde8d0d85159,0.0020019610458082635,2,5000000
98,03139a07b14bb888125882a3a63b48ab99a755850316842fcaab3ab01d3aef7c1b,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,0.0019943953433411406,2,40000
99,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03a7fb52da76a723f7e3cd5d777c0372f1ae1217c82a60e15d12b74089b3d82724,0.0019875483953407133,2,300000
100,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,03f456e8c3479654da4498b64c1aa80656a33561d52f3444f5930f5c4a410a6fb6,0.0019782678317480295,2,100000
101,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,03cbc081bea4020f23b595b813b27cd044b1245c63d2383efb36814fe3fb982733,0.0019698099769509822,2,300000
102,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0361c37f8b01ea5f0b926abded5ed0300d5130a0654b0b5a4ff6241dfd0316cc15,0.0019654289014886094,2,58279
103,02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,033c87f6e5e202a4569d6d074da09cad4210a25bb89f00d6f53caa7429f6e55eed,0.0019606237403113486,2,188100
104,035c88f0bcca34be4ff2938fece90ce0e015cea5927101a99e9c35cc99b79a5f94,0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,0.0019488805523054922,2,124017
105,0350052352bbf3d13cafe5217d1d9d63bf32fd881cbef62675b4b271ecc357cee4,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,0.0019467363160263831,2,400000
106,0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,0.0019365867090503162,2,1500000
107,0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,03b99d5aed3eb17ec8e68e9111756aaba989c00d747f05b59fb4905f7b2ec34068,0.0019252893317850419,2,5000001
108,032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3,0356adcf4972155ef2efe4261366cd730c5823caabd90b8f0659f6dd3ee4bc2cda,0.0018933420215249274,2,1998000
109,024655b768ef40951b20053a5c4b951606d4d86085d51238f2c67c7dec29c792ca,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,0.001891763337703359,2,10000000
110,032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada,03dbeda8d7c9a54021e96ccb5f36be46f9f31eb40468c4679f8b328b252242ffd0,0.0018619908927862694,2,678486
111,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618,0.0018403773986321664,2,9000000
112,02643b2c991d7f21b2abdb04c57d3b6cbc566ea3b41b9fde46c00a2f5aceeff0cb,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,0.001818055895934462,2,255900
113,02a0bc43557fae6af7be8e3a29fdebda819e439bea9c0f8eb8ed6a0201f3471ca9,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0.0018102794405967305,2,344853
114,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,03e81a5b8af31bc00a1c1c08419d3272b4982db02feafd739904df2edfcbdf6f7e,0.0018076767867650767,2,1243310
115,024cb8d75de288f7b4f36acc8877c98dd48e5174fe8db35a9c2331dc8ed76dd204,03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,0.0018047739158624872,2,232097
116,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0357e23939805a0a739b693107f1efd33936023afb7dea6472cd2118df6a0a7036,0.0018033572451801871,2,100000
117,03620f31cf2bb95bb70c8c7bcdaa0698cd9bc7f17987290338af301eaa28c351be,03d2d3c94999a2c43f67107aebec4e693a3fc9ac6133c28254cf34c0436f291bd9,0.0017693970737475036,2,182000
118,03e50492eab4107a773141bb419e107bda3de3d55652e6e1a41225f06a0bbf2d56,03e99d95d056bd84e5cc73e546924af49597b2fd8379f2dcaf8e06ac230e47d336,0.001767138513582984,2,1000000
119,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0349382bd894403988032f446cd2ad58a311685260885f50b483807ff356caf108,0.0017416155942400963,2,300000
120,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,02e6a169b0826dfea51ee8bb81f629ec7445b267ef36354f2dd5012e1e8b69088c,0.0017353012667789395,2,100000
121,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,038bcc6471941c7d6c14a8ce5b7159d8f73a3a0bb9a93e8896bcb892e14552658a,0.0017312313314630271,2,95993
122,021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643,02251c2b931203848152b1c52e63ee91c74f53b0bfa8dd634a9b016d7b77c5afa9,0.0017305409142848948,2,750000
123,0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,0.0017243512848250607,2,5000001
124,02247d9db0dfafea745ef8c9e161eb322f73ac3f8858d8730b6fd97254747ce76b,03be8dbb87bd9f23d44c6448a72c2b0ee36c6405d9b39f1ed7ca423b04cc4d2157,0.0017085915256647435,2,9000000
125,039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,03dbeda8d7c9a54021e96ccb5f36be46f9f31eb40468c4679f8b328b252242ffd0,0.0016958304184863178,2,16777215
126,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0,0.0016741176592681996,2,100000
127,0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,03b2a5bbe977bb5dd39daaa7e785c899e40df7ed92f16452bd1d0b7e765328d06e,0.0016599987131574443,2,70000
128,036c977839833af6b6994ee2c9a7155ad8c256a114378bb3718c3cfa24384c867d,03dab87ff8635982815c4567eb58af48f9944d11c56beb12b91e1049aaea06e187,0.0016599657587986739,2,9000000
